o_zone_id,d_zone_id,accessibility,distance,geometry
7,,1,,N/A,N/A,"LINESTRING (-111.93729125 33.413450000000005, -111.92689385000001 33.4318588)"
7,,2,,N/A,N/A,"LINESTRING (-111.93729125 33.413450000000005, -111.9414 33.42342175)"
7,,3,,N/A,N/A,"LINESTRING (-111.93729125 33.413450000000005, -111.9414 33.426982100000004)"
7,,4,,N/A,N/A,"LINESTRING (-111.93729125 33.413450000000005, -111.9413038 33.4182829)"
7,,5,,N/A,N/A,"LINESTRING (-111.93729125 33.413450000000005, -111.92838065 33.42675425)"
7,,6,,N/A,N/A,"LINESTRING (-111.93729125 33.413450000000005, -111.9268 33.421724)"
7,,8,,N/A,N/A,"LINESTRING (-111.93729125 33.413450000000005, -111.937816 33.42150770000001)"
7,,9,,N/A,N/A,"LINESTRING (-111.93729125 33.413450000000005, -111.93261035 33.4184807)"
7,,10,,N/A,N/A,"LINESTRING (-111.93729125 33.413450000000005, -111.93158275 33.413450000000005)"
7,,11,,N/A,N/A,"LINESTRING (-111.93729125 33.413450000000005, -111.93757765 33.41757075)"
7,,12,,N/A,N/A,"LINESTRING (-111.93729125 33.413450000000005, -111.9387148 33.43225)"
7,,13,,N/A,N/A,"LINESTRING (-111.93729125 33.413450000000005, -111.93698955 33.426641950000004)"
7,,14,,N/A,N/A,"LINESTRING (-111.93729125 33.413450000000005, -111.93277995000001 33.421400500000004)"
7,,15,,N/A,N/A,"LINESTRING (-111.93729125 33.413450000000005, -111.92699160000001 33.413596500000004)"
7,,16,,N/A,N/A,"LINESTRING (-111.93729125 33.413450000000005, -111.9268972 33.4180411)"
7,,17,,N/A,N/A,"LINESTRING (-111.93729125 33.413450000000005, -111.93232855000001 33.4280852)"
7,,18,,N/A,N/A,"LINESTRING (-111.93729125 33.413450000000005, -111.93374765 33.43225)"
7,,19,,N/A,N/A,"LINESTRING (-111.93729125 33.413450000000005, -111.9413012 33.43225)"
8,,1,,N/A,N/A,"LINESTRING (-111.937816 33.42150770000001, -111.92689385000001 33.4318588)"
8,,2,,N/A,N/A,"LINESTRING (-111.937816 33.42150770000001, -111.9414 33.42342175)"
8,,3,,N/A,N/A,"LINESTRING (-111.937816 33.42150770000001, -111.9414 33.426982100000004)"
8,,4,,N/A,N/A,"LINESTRING (-111.937816 33.42150770000001, -111.9413038 33.4182829)"
8,,5,,N/A,N/A,"LINESTRING (-111.937816 33.42150770000001, -111.92838065 33.42675425)"
8,,6,,N/A,N/A,"LINESTRING (-111.937816 33.42150770000001, -111.9268 33.421724)"
8,,7,,N/A,N/A,"LINESTRING (-111.937816 33.42150770000001, -111.93729125 33.413450000000005)"
8,,9,,N/A,N/A,"LINESTRING (-111.937816 33.42150770000001, -111.93261035 33.4184807)"
8,,10,,N/A,N/A,"LINESTRING (-111.937816 33.42150770000001, -111.93158275 33.413450000000005)"
8,,11,,N/A,N/A,"LINESTRING (-111.937816 33.42150770000001, -111.93757765 33.41757075)"
8,,12,,N/A,N/A,"LINESTRING (-111.937816 33.42150770000001, -111.9387148 33.43225)"
8,,13,,N/A,N/A,"LINESTRING (-111.937816 33.42150770000001, -111.93698955 33.426641950000004)"
8,,14,,N/A,N/A,"LINESTRING (-111.937816 33.42150770000001, -111.93277995000001 33.421400500000004)"
8,,15,,N/A,N/A,"LINESTRING (-111.937816 33.42150770000001, -111.92699160000001 33.413596500000004)"
8,,16,,N/A,N/A,"LINESTRING (-111.937816 33.42150770000001, -111.9268972 33.4180411)"
8,,17,,N/A,N/A,"LINESTRING (-111.937816 33.42150770000001, -111.93232855000001 33.4280852)"
8,,18,,N/A,N/A,"LINESTRING (-111.937816 33.42150770000001, -111.93374765 33.43225)"
8,,19,,N/A,N/A,"LINESTRING (-111.937816 33.42150770000001, -111.9413012 33.43225)"
9,,1,,N/A,N/A,"LINESTRING (-111.93261035 33.4184807, -111.92689385000001 33.4318588)"
9,,2,,N/A,N/A,"LINESTRING (-111.93261035 33.4184807, -111.9414 33.42342175)"
9,,3,,N/A,N/A,"LINESTRING (-111.93261035 33.4184807, -111.9414 33.426982100000004)"
9,,4,,N/A,N/A,"LINESTRING (-111.93261035 33.4184807, -111.9413038 33.4182829)"
9,,5,,N/A,N/A,"LINESTRING (-111.93261035 33.4184807, -111.92838065 33.42675425)"
9,,6,,N/A,N/A,"LINESTRING (-111.93261035 33.4184807, -111.9268 33.421724)"
9,,7,,N/A,N/A,"LINESTRING (-111.93261035 33.4184807, -111.93729125 33.413450000000005)"
9,,8,,N/A,N/A,"LINESTRING (-111.93261035 33.4184807, -111.937816 33.42150770000001)"
9,,10,,N/A,N/A,"LINESTRING (-111.93261035 33.4184807, -111.93158275 33.413450000000005)"
9,,11,,N/A,N/A,"LINESTRING (-111.93261035 33.4184807, -111.93757765 33.41757075)"
9,,12,,N/A,N/A,"LINESTRING (-111.93261035 33.4184807, -111.9387148 33.43225)"
9,,13,,N/A,N/A,"LINESTRING (-111.93261035 33.4184807, -111.93698955 33.426641950000004)"
9,,14,,N/A,N/A,"LINESTRING (-111.93261035 33.4184807, -111.93277995000001 33.421400500000004)"
9,,15,,N/A,N/A,"LINESTRING (-111.93261035 33.4184807, -111.92699160000001 33.413596500000004)"
9,,16,,N/A,N/A,"LINESTRING (-111.93261035 33.4184807, -111.9268972 33.4180411)"
9,,17,,N/A,N/A,"LINESTRING (-111.93261035 33.4184807, -111.93232855000001 33.4280852)"
9,,18,,N/A,N/A,"LINESTRING (-111.93261035 33.4184807, -111.93374765 33.43225)"
9,,19,,N/A,N/A,"LINESTRING (-111.93261035 33.4184807, -111.9413012 33.43225)"
10,,1,,N/A,N/A,"LINESTRING (-111.93158275 33.413450000000005, -111.92689385000001 33.4318588)"
10,,2,,N/A,N/A,"LINESTRING (-111.93158275 33.413450000000005, -111.9414 33.42342175)"
10,,3,,N/A,N/A,"LINESTRING (-111.93158275 33.413450000000005, -111.9414 33.426982100000004)"
10,,4,,N/A,N/A,"LINESTRING (-111.93158275 33.413450000000005, -111.9413038 33.4182829)"
10,,5,,N/A,N/A,"LINESTRING (-111.93158275 33.413450000000005, -111.92838065 33.42675425)"
10,,6,,N/A,N/A,"LINESTRING (-111.93158275 33.413450000000005, -111.9268 33.421724)"
10,,7,,N/A,N/A,"LINESTRING (-111.93158275 33.413450000000005, -111.93729125 33.413450000000005)"
10,,8,,N/A,N/A,"LINESTRING (-111.93158275 33.413450000000005, -111.937816 33.42150770000001)"
10,,9,,N/A,N/A,"LINESTRING (-111.93158275 33.413450000000005, -111.93261035 33.4184807)"
10,,11,,N/A,N/A,"LINESTRING (-111.93158275 33.413450000000005, -111.93757765 33.41757075)"
10,,12,,N/A,N/A,"LINESTRING (-111.93158275 33.413450000000005, -111.9387148 33.43225)"
10,,13,,N/A,N/A,"LINESTRING (-111.93158275 33.413450000000005, -111.93698955 33.426641950000004)"
10,,14,,N/A,N/A,"LINESTRING (-111.93158275 33.413450000000005, -111.93277995000001 33.421400500000004)"
10,,15,,N/A,N/A,"LINESTRING (-111.93158275 33.413450000000005, -111.92699160000001 33.413596500000004)"
10,,16,,N/A,N/A,"LINESTRING (-111.93158275 33.413450000000005, -111.9268972 33.4180411)"
