name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
,3506,945328616,1749,2165,1,22.49,1,5,800,footway,10,"LINESTRING (-111.9307754 33.4145909, -111.9307346 33.4145478, -111.9307339 33.4144000)",walk,0,0,,
,3507,945328617,2166,1750,1,22.67,1,5,800,footway,10,"LINESTRING (-111.9305916 33.4144000, -111.9305998 33.4144038, -111.9306034 33.4144081, -111.9305967 33.4145502, -111.9305820 33.4145978)",walk,0,0,,
,3508,945328617,1750,1745,1,8.55,1,5,800,footway,10,"LINESTRING (-111.9305820 33.4145978, -111.9304912 33.4146099)",walk,0,0,,
,3509,945328617,1745,2068,1,62.19,1,5,800,footway,10,"LINESTRING (-111.9304912 33.4146099, -111.9304558 33.4145925, -111.9298280 33.4145917)",walk,0,0,,
,3510,945328617,2068,817,1,63.69,1,5,800,footway,10,"LINESTRING (-111.9298280 33.4145917, -111.9291430 33.4145952)",walk,0,0,,
,3511,945328617,817,2167,1,43.39,1,5,800,footway,10,"LINESTRING (-111.9291430 33.4145952, -111.9286764 33.4146021)",walk,0,0,,
,3512,945328617,2167,1943,1,11.05,1,5,800,footway,10,"LINESTRING (-111.9286764 33.4146021, -111.9286215 33.4146074, -111.9285580 33.4146095)",walk,0,0,,
,3513,945328617,1943,2168,1,128.56,1,5,800,footway,10,"LINESTRING (-111.9285580 33.4146095, -111.9284819 33.4146147, -111.9283920 33.4146238, -111.9274651 33.4146332, -111.9274400 33.4146131, -111.9274379 33.4144000)",walk,0,0,,
,3514,945328623,2161,2107,1,6.07,1,5,800,footway,10,"LINESTRING (-111.9328586 33.4145767, -111.9327934 33.4145749)",walk;bike,0,0,,
,3515,945328623,2107,2164,1,7.39,1,5,800,footway,10,"LINESTRING (-111.9327934 33.4145749, -111.9327141 33.4145707)",walk;bike,0,0,,
,3516,945328623,2164,618,1,8.43,1,5,800,footway,10,"LINESTRING (-111.9327141 33.4145707, -111.9327144 33.4146467)",walk;bike,0,0,,
,3517,945328623,618,2169,1,5.67,1,5,800,footway,10,"LINESTRING (-111.9327144 33.4146467, -111.9327144 33.4146792, -111.9327139 33.4146978)",walk;bike,0,0,,
,3518,945328623,2169,612,1,7.51,1,5,800,footway,10,"LINESTRING (-111.9327139 33.4146978, -111.9327139 33.4147451, -111.9327145 33.4147655)",walk;bike,0,0,,
,3519,945328623,612,1583,1,11.47,1,5,800,footway,10,"LINESTRING (-111.9327145 33.4147655, -111.9327228 33.4148687)",walk;bike,0,0,,
,3520,945328623,1583,2170,1,8.22,1,5,800,footway,10,"LINESTRING (-111.9327228 33.4148687, -111.9328110 33.4148640)",walk;bike,0,0,,
,3521,945328623,2170,1582,1,8.62,1,5,800,footway,10,"LINESTRING (-111.9328110 33.4148640, -111.9329034 33.4148578)",walk;bike,0,0,,
,3522,945353389,2171,2167,1,22.41,1,5,800,footway,10,"LINESTRING (-111.9286741 33.4144000, -111.9286764 33.4146021)",walk,0,0,,
,3523,945397995,2095,2172,1,3.21,1,5,800,footway,10,"LINESTRING (-111.9261340 33.4198345, -111.9261045 33.4198368, -111.9261000 33.4198352)",walk;bike,0,0,,
South Mill Avenue,3524,952168708,2118,2100,1,8.17,2,56,1600,secondary,4,"LINESTRING (-111.9399090 33.4147094, -111.9399088 33.4146490, -111.9399085 33.4146357)",auto;bike;walk,1,0,,
South Mill Avenue,3525,952168708,2100,2118,1,8.17,3,56,1600,secondary,4,"LINESTRING (-111.9399085 33.4146357, -111.9399088 33.4146490, -111.9399090 33.4147094)",auto;bike;walk,1,0,,
South Mill Avenue,3526,952168708,2100,2173,1,26.14,2,56,1600,secondary,4,"LINESTRING (-111.9399085 33.4146357, -111.9399039 33.4144000)",auto;bike;walk,1,0,,
South Mill Avenue,3527,952168708,2173,2100,1,26.14,3,56,1600,secondary,4,"LINESTRING (-111.9399039 33.4144000, -111.9399085 33.4146357)",auto;bike;walk,1,0,,
,3528,952168709,2100,2119,1,21.91,1,5,800,footway,10,"LINESTRING (-111.9399085 33.4146357, -111.9397638 33.4146362, -111.9397515 33.4146542, -111.9397539 33.4147097)",walk,0,0,,
,3529,952168709,2119,187,1,8.19,1,5,800,footway,10,"LINESTRING (-111.9397539 33.4147097, -111.9397571 33.4147835)",walk,0,0,,
,3530,952168709,187,1929,1,7.37,1,5,800,footway,10,"LINESTRING (-111.9397571 33.4147835, -111.9397600 33.4148499)",walk,0,0,,
South Mill Avenue,3531,952169082,598,2098,1,37.06,3,56,1600,secondary,4,"LINESTRING (-111.9399169 33.4151943, -111.9399155 33.4148600)",auto;bike;walk,1,0,,
South Mill Avenue,3532,952169082,2098,598,1,37.06,2,56,1600,secondary,4,"LINESTRING (-111.9399155 33.4148600, -111.9399169 33.4151943)",auto;bike;walk,1,0,,
South Mill Avenue,3533,952169082,2098,188,1,8.39,3,56,1600,secondary,4,"LINESTRING (-111.9399155 33.4148600, -111.9399110 33.4147844)",auto;bike;walk,1,0,,
South Mill Avenue,3534,952169082,188,2098,1,8.39,2,56,1600,secondary,4,"LINESTRING (-111.9399110 33.4147844, -111.9399155 33.4148600)",auto;bike;walk,1,0,,
South Mill Avenue,3535,952169810,188,2118,1,8.32,3,56,1600,secondary,4,"LINESTRING (-111.9399110 33.4147844, -111.9399090 33.4147094)",auto;bike;walk,1,0,,
South Mill Avenue,3536,952169810,2118,188,1,8.32,2,56,1600,secondary,4,"LINESTRING (-111.9399090 33.4147094, -111.9399110 33.4147844)",auto;bike;walk,1,0,,
,3537,963916215,126,2174,1,23.68,1,24,800,service,8,"LINESTRING (-111.9397030 33.4204945, -111.9397050 33.4205671, -111.9397083 33.4207080)",walk;bike,1,0,,
,3538,963916215,2174,126,1,23.68,1,24,800,service,8,"LINESTRING (-111.9397083 33.4207080, -111.9397050 33.4205671, -111.9397030 33.4204945)",walk;bike,1,0,,
,3539,965749391,591,149,1,16.86,1,30,800,service,8,"LINESTRING (-111.9374930 33.4305413, -111.9374689 33.4304979, -111.9374150 33.4304040)",walk;bike,1,0,,
,3540,965749391,149,591,1,16.86,1,30,800,service,8,"LINESTRING (-111.9374150 33.4304040, -111.9374689 33.4304979, -111.9374930 33.4305413)",walk;bike,1,0,,
North Scottsdale Road,3541,965749733,715,476,1,11.63,3,56,1800,primary,3,"LINESTRING (-111.9262830 33.4288957, -111.9262855 33.4290006)",auto;bike;walk,1,0,,
North Scottsdale Road,3542,965749733,476,715,1,11.63,4,56,1800,primary,3,"LINESTRING (-111.9262855 33.4290006, -111.9262830 33.4288957)",auto;bike;walk,1,0,,
East 6th Street,3543,965750050,778,473,1,14.69,1,30,1000,residential,6,"LINESTRING (-111.9263810 33.4245047, -111.9262230 33.4245011)",auto;bike;walk,1,0,,
East 6th Street,3544,965750050,473,778,1,14.69,1,30,1000,residential,6,"LINESTRING (-111.9262230 33.4245011, -111.9263810 33.4245047)",auto;bike;walk,1,0,,
South Rural Road,3545,966303717,567,759,1,28.1,4,56,1800,primary,3,"LINESTRING (-111.9263055 33.4199832, -111.9262989 33.4201830, -111.9262989 33.4202366)",auto;bike;walk,1,0,,
South Rural Road,3546,966303717,759,567,1,28.1,3,56,1800,primary,3,"LINESTRING (-111.9262989 33.4202366, -111.9262989 33.4201830, -111.9263055 33.4199832)",auto;bike;walk,1,0,,
South Mill Avenue,3547,967960567,431,524,1,10.38,2,48,1800,primary,3,"LINESTRING (-111.9399670 33.4296814, -111.9399684 33.4297750)",auto;bike;walk,0,0,,
,3548,967960568,1816,2175,1,5.41,1,5,800,cycleway,9,"LINESTRING (-111.9398312 33.4297756, -111.9398856 33.4297929)",walk;bike,0,0,,
,3549,967960568,2175,524,1,7.95,1,5,800,cycleway,9,"LINESTRING (-111.9398856 33.4297929, -111.9399684 33.4297750)",walk;bike,0,0,,
,3550,967960569,524,707,1,12.08,1,5,800,cycleway,9,"LINESTRING (-111.9399684 33.4297750, -111.9400949 33.4297499)",walk;bike,0,0,,
,3551,989284359,855,586,1,88.7,1,80,1800,primary,3,"LINESTRING (-111.9337225 33.4146441, -111.9336672 33.4146694, -111.9335229 33.4147046, -111.9329187 33.4147111, -111.9328584 33.4147234, -111.9328194 33.4147440, -111.9328050 33.4147645)",auto;bike;walk,0,1,,
,3552,989284360,610,2169,1,47.91,3,80,1800,primary,3,"LINESTRING (-111.9322177 33.4147716, -111.9322444 33.4147502, -111.9323541 33.4147182, -111.9326208 33.4147143, -111.9326565 33.4147110, -111.9327139 33.4146978)",auto;bike;walk,0,1,,
,3553,989284360,2169,608,1,9.49,3,80,1800,primary,3,"LINESTRING (-111.9327139 33.4146978, -111.9327536 33.4146785, -111.9327940 33.4146458)",auto;bike;walk,0,1,,
South Mill Avenue,3554,991871165,680,432,1,22.45,2,48,1800,primary,3,"LINESTRING (-111.9399680 33.4262632, -111.9399700 33.4264657)",auto;bike;walk,0,0,,
,3555,991871166,680,25,1,27.05,1,80,1800,primary,3,"LINESTRING (-111.9399680 33.4262632, -111.9399820 33.4262785, -111.9400158 33.4263152, -111.9400151 33.4264153, -111.9400219 33.4264383, -111.9400465 33.4264581, -111.9400770 33.4264624)",auto;bike;walk,0,1,,
,3556,1001246307,287,291,1,8.62,1,5,800,footway,10,"LINESTRING (-111.9364982 33.4262461, -111.9364780 33.4262869, -111.9364631 33.4263181)",walk,0,0,,
,3557,1001246307,291,2176,1,7.84,1,5,800,footway,10,"LINESTRING (-111.9364631 33.4263181, -111.9364450 33.4263534, -111.9364319 33.4263838)",walk,0,0,,
East University Drive,3558,1002525088,523,1537,1,79.9,2,56,1600,secondary,4,"LINESTRING (-111.9339953 33.4220122, -111.9348546 33.4220008)",auto;bike;walk,0,0,,
East University Drive,3559,1002525088,1537,114,1,10.64,2,56,1600,secondary,4,"LINESTRING (-111.9348546 33.4220008, -111.9349690 33.4220021)",auto;bike;walk,0,0,,
East University Drive,3560,1002525089,2115,2177,1,13.16,2,56,1600,secondary,4,"LINESTRING (-111.9339885 33.4219235, -111.9338470 33.4219238)",auto;bike;walk,0,0,,
East University Drive,3561,1002525089,2177,947,1,57.05,2,56,1600,secondary,4,"LINESTRING (-111.9338470 33.4219238, -111.9332334 33.4219285)",auto;bike;walk,0,0,,
East University Drive,3562,1002525089,947,2178,1,223.79,2,56,1600,secondary,4,"LINESTRING (-111.9332334 33.4219285, -111.9308264 33.4219514)",auto;bike;walk,0,0,,
East University Drive,3563,1002525089,2178,1216,1,5.99,2,56,1600,secondary,4,"LINESTRING (-111.9308264 33.4219514, -111.9307620 33.4219520)",auto;bike;walk,0,0,,
South Mill Avenue,3564,1014049681,146,420,1,18.75,3,48,1800,primary,3,"LINESTRING (-111.9400253 33.4176249, -111.9400241 33.4174558)",auto;bike;walk,0,0,,
Gammage Parkway,3565,1014049682,421,2179,1,5.76,1,24,1000,residential,6,"LINESTRING (-111.9398439 33.4174549, -111.9397819 33.4174542)",auto;bike;walk,0,0,,
Gammage Parkway,3566,1014049682,2179,262,1,15.31,1,24,1000,residential,6,"LINESTRING (-111.9397819 33.4174542, -111.9396173 33.4174516)",auto;bike;walk,0,0,,
Gammage Parkway,3567,1014049682,262,1569,1,130.38,1,24,1000,residential,6,"LINESTRING (-111.9396173 33.4174516, -111.9382655 33.4174641, -111.9382150 33.4174644)",auto;bike;walk,0,0,,
Gammage Parkway,3568,1014049682,1569,332,1,7.3,1,24,1000,residential,6,"LINESTRING (-111.9382150 33.4174644, -111.9381365 33.4174648)",auto;bike;walk,0,0,,
Gammage Parkway,3569,1014049682,332,2180,1,125.4,1,24,1000,residential,6,"LINESTRING (-111.9381365 33.4174648, -111.9368123 33.4174751, -111.9367878 33.4174758)",auto;bike;walk,0,0,,
Gammage Parkway,3570,1014049682,2180,76,1,14.45,1,24,1000,residential,6,"LINESTRING (-111.9367878 33.4174758, -111.9366324 33.4174773)",auto;bike;walk,0,0,,
,3571,1019268485,1480,2106,1,5.72,1,5,800,footway,10,"LINESTRING (-111.9265424 33.4289801, -111.9265205 33.4290283)",walk,0,0,,
,3572,1019268486,1716,476,1,18.55,1,5,800,footway,10,"LINESTRING (-111.9264838 33.4290194, -111.9262855 33.4290006)",walk,0,0,,
,3573,1019268486,476,236,1,16.58,1,5,800,footway,10,"LINESTRING (-111.9262855 33.4290006, -111.9261090 33.4289792)",walk,0,0,,
,3574,1019539909,1330,56,1,8.07,1,5,800,footway,10,"LINESTRING (-111.9289940 33.4173946, -111.9289101 33.4173761)",walk;bike,0,0,,
,3575,1019539909,56,1442,1,8.39,1,5,800,footway,10,"LINESTRING (-111.9289101 33.4173761, -111.9288228 33.4173568)",walk;bike,0,0,,
